_fila_extraida,Nro Inscripción,Período,Operador,Bandera,Fecha de baja,CUIT,Tipo Negocio,Dirección,Localidad,Provincia,Producto,Canal de Comercialización,Precio sin impuestos,Precio con impuestos,Volumen,Precio surtidor,NO Movimientos,Excentos,Impuesto Combustible Líquidos,Impuesto Dióxido Carbono,Tasa Vial,tasa Municipal,Ingresos Brutos,Iva,Fondo fiduciario GNC
62096,4653,2025/03,"ROGER, HUGO DANIEL",SHELL C.A.P.S.A.,,20-16232054-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,MONZON Y L.COBELLO 95,VILLA ANGELA,CHACO,Gas Oil Grado 3,Al público,1173.33,1599.00,4.39,1599.00,NO,0,152.18,17.34,0,0,0,254.15,0
62098,4653,2025/03,"ROGER, HUGO DANIEL",SHELL C.A.P.S.A.,,20-16232054-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,MONZON Y L.COBELLO 95,VILLA ANGELA,CHACO,Nafta (súper) entre 92 y 95 Ron,Al público,863.45,1289.00,38.12,1289.00,NO,0,219.51,13.44,0,0,0,192.60,0
62195,2951,2025/03,ROQUE LINO PENZO Y CIA S.R.L.,YPF,,30-66986964-5,Bocas de expendio (venta por menor) Combustibles Líquidos + PRVE,SAN MARTIN N 1000,SANTA LUCIA,CORRIENTES,Nafta (premium) de más de 95 Ron,Al público,1041.22,1523.00,23.76,1523.00,NO,0,193.17,11.83,0,0,0,276.78,0
62196,2951,2025/03,ROQUE LINO PENZO Y CIA S.R.L.,YPF,,30-66986964-5,Bocas de expendio (venta por menor) Combustibles Líquidos + PRVE,SAN MARTIN N 1000,SANTA LUCIA,CORRIENTES,Gas Oil Grado 2,Al público,902.31,1300.00,110.77,1300.00,NO,0,141.68,16.15,0,0,0,239.86,0
62197,2951,2025/03,ROQUE LINO PENZO Y CIA S.R.L.,YPF,,30-66986964-5,Bocas de expendio (venta por menor) Combustibles Líquidos + PRVE,SAN MARTIN N 1000,SANTA LUCIA,CORRIENTES,Gas Oil Grado 3,Al público,1116.07,1566.00,74.46,1566.00,NO,0,137.58,15.68,0,0,0,296.68,0
62198,2951,2025/03,ROQUE LINO PENZO Y CIA S.R.L.,YPF,,30-66986964-5,Bocas de expendio (venta por menor) Combustibles Líquidos + PRVE,SAN MARTIN N 1000,SANTA LUCIA,CORRIENTES,Nafta (súper) entre 92 y 95 Ron,Al público,827.13,1252.00,235.94,1252.00,NO,0,193.17,11.83,0,0,0,219.87,0
62782,563,2025/03,SANTA BARBARA SA,YPF,,30-64767888-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AUTOPISTA CORDOBA PILAR KM 692,CORDOBA,CORDOBA,GNC,Al público,577.69,699.00,94855.90,699.00,NO,0,0,0,0,0,0,121.31,10.93
62784,563,2025/03,SANTA BARBARA SA,YPF,,30-64767888-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AUTOPISTA CORDOBA PILAR KM 692,CORDOBA,CORDOBA,Nafta (súper) entre 92 y 95 Ron,Al público,885.00,1264.29,243.46,1265.00,NO,0,193.17,11.83,0,0,0,185.85,0
62785,563,2025/03,SANTA BARBARA SA,YPF,,30-64767888-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AUTOPISTA CORDOBA PILAR KM 692,CORDOBA,CORDOBA,Gas Oil Grado 2,Al público,856.02,1285.68,247.08,1286.00,NO,0,140.77,16.04,0,0,0,179.76,0
62790,563,2025/03,SANTA BARBARA SA,YPF,,30-64767888-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AUTOPISTA CORDOBA PILAR KM 692,CORDOBA,CORDOBA,Nafta (premium) de más de 95 Ron,Al público,1084.10,1505.05,134.98,1518.00,NO,0,193.17,11.83,0,0,0,227.66,0
62791,563,2025/03,SANTA BARBARA SA,YPF,,30-64767888-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AUTOPISTA CORDOBA PILAR KM 692,CORDOBA,CORDOBA,Gas Oil Grado 3,Al público,1115.17,1499.00,255.57,1501.00,NO,0,136.97,15.61,0,0,0,234.19,0
64040,6644,2025/03,SUCATA S.A.,YPF,,30-70827063-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),"RUTA PROVINCIAL Nº 10 0,7",SAN LORENZO,SANTA FE,Gas Oil Grado 3,Al público,1102.43,1485.94,309.82,1487.00,NO,0,136.45,15.55,0,0,0,231.51,0
64041,6644,2025/03,SUCATA S.A.,YPF,,30-70827063-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),"RUTA PROVINCIAL Nº 10 0,7",SAN LORENZO,SANTA FE,Gas Oil Grado 2,Al público,920.13,1271.51,762.94,1274.00,NO,0,141.97,16.18,0,0,0,193.23,0
64043,6644,2025/03,SUCATA S.A.,YPF,,30-70827063-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),"RUTA PROVINCIAL Nº 10 0,7",SAN LORENZO,SANTA FE,Nafta (premium) de más de 95 Ron,Al público,1072.16,1501.69,128.54,1501.00,NO,0,192.58,11.80,0,0,0,225.15,0
64045,6644,2025/03,SUCATA S.A.,YPF,,30-70827063-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),"RUTA PROVINCIAL Nº 10 0,7",SAN LORENZO,SANTA FE,Nafta (súper) entre 92 y 95 Ron,Al público,866.14,1252.37,282.69,1252.00,NO,0,192.55,11.79,0,0,0,181.89,0
64118,1907,2025/03,SUCESORES DE OVIDIO JUAN DEGREGORIO S.H,YPF,,30-67017935-0,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV.AVALOS 1001,RESISTENCIA,CHACO,Gas Oil Grado 2,Al público,940.28,1300.00,79.59,1300.00,NO,0,145.66,16.60,0,0,0,197.46,0
64119,1907,2025/03,SUCESORES DE OVIDIO JUAN DEGREGORIO S.H,YPF,,30-67017935-0,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV.AVALOS 1001,RESISTENCIA,CHACO,Nafta (común) hasta 92 Ron,Al público,861.07,1252.00,208.94,1252.00,NO,0,197.98,12.13,0,0,0,180.82,0
64120,1907,2025/03,SUCESORES DE OVIDIO JUAN DEGREGORIO S.H,YPF,,30-67017935-0,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV.AVALOS 1001,RESISTENCIA,CHACO,Gas Oil Grado 3,Al público,1159.05,1560.00,75.87,1560.00,NO,0,141.43,16.12,0,0,0,243.40,0
64121,1907,2025/03,SUCESORES DE OVIDIO JUAN DEGREGORIO S.H,YPF,,30-67017935-0,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV.AVALOS 1001,RESISTENCIA,CHACO,Nafta (premium) de más de 95 Ron,Al público,1085.03,1523.00,49.50,1523.00,NO,0,197.98,12.13,0,0,0,227.86,0
65784,723,2025/04,AGLP SA,YPF,,30-70715847-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),BLAS PARERA 935,ITUZAINGO,BUENOS AIRES,Nafta (común) hasta 92 Ron,Al público,972.85,1251.96,187.21,1252.00,NO,0,224.97,13.78,12.63,0,0,204.30,0
65785,723,2025/04,AGLP SA,YPF,,30-70715847-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),BLAS PARERA 935,ITUZAINGO,BUENOS AIRES,GNC,Al público,387.74,509.00,84775.00,509.00,NO,0,0,0,5.04,0,0,81.42,9.89
65786,723,2025/04,AGLP SA,YPF,,30-70715847-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),BLAS PARERA 935,ITUZAINGO,BUENOS AIRES,Gas Oil Grado 3,Al público,1174.39,1174.39,35.86,1496.00,NO,0,255.74,29.16,15.25,0,0,246.62,0
65787,723,2025/04,AGLP SA,YPF,,30-70715847-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),BLAS PARERA 935,ITUZAINGO,BUENOS AIRES,Gas Oil Grado 2,Al público,970.32,1237.00,57.32,1237.00,NO,0,156.45,17.83,12.60,0,0,203.76,0
65788,723,2025/04,AGLP SA,YPF,,30-70715847-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),BLAS PARERA 935,ITUZAINGO,BUENOS AIRES,Nafta (premium) de más de 95 Ron,Al público,1197.52,1197.52,65.26,1531.00,NO,0,224.97,13.78,15.55,0,0,251.47,0
68365,9641,2025/04,"BORDAQUEVICH, HUGO JOSE",AXION,,20-18054580-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA 2 Y AV. REP. ARGENTINA (LOTE RURAL 065 E INMOBILIARIA 4176),CONCEPCION DE LA SIERRA,MISIONES,Nafta (premium) de más de 95 Ron,Al público,1189.25,1639.00,5.06,1639.00,NO,0,224.97,13.78,0,0,0,249.69,0
68366,9641,2025/04,"BORDAQUEVICH, HUGO JOSE",AXION,,20-18054580-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA 2 Y AV. REP. ARGENTINA (LOTE RURAL 065 E INMOBILIARIA 4176),CONCEPCION DE LA SIERRA,MISIONES,Gas Oil Grado 2,Al público,1047.00,1418.46,52.67,1419.00,NO,0,156.45,17.83,0,0,0,219.87,0
68367,9641,2025/04,"BORDAQUEVICH, HUGO JOSE",AXION,,20-18054580-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA 2 Y AV. REP. ARGENTINA (LOTE RURAL 065 E INMOBILIARIA 4176),CONCEPCION DE LA SIERRA,MISIONES,Nafta (común) hasta 92 Ron,Al público,941.32,1339.00,31.60,1339.00,NO,0,224.97,13.78,0,0,0,197.68,0
68368,9641,2025/04,"BORDAQUEVICH, HUGO JOSE",AXION,,20-18054580-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA 2 Y AV. REP. ARGENTINA (LOTE RURAL 065 E INMOBILIARIA 4176),CONCEPCION DE LA SIERRA,MISIONES,Gas Oil Grado 3,Al público,1245.86,1659.00,19.00,1659.00,NO,0,156.45,17.83,0,0,0,261.63,0
68620,104,2025/04,CALCAGNO RICARDO OMAR Y CALCAGNO RICARDO JAVIER SOC. HECHO,SHELL C.A.P.S.A.,,33-70812864-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV. 25 DE MAYO 280,RESISTENCIA,CHACO,Nafta (premium) de más de 95 Ron,Al público,1199.36,1623.00,85.97,1623.00,NO,0,197.98,12.13,0,0,15.89,191.13,0
68621,104,2025/04,CALCAGNO RICARDO OMAR Y CALCAGNO RICARDO JAVIER SOC. HECHO,SHELL C.A.P.S.A.,,33-70812864-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV. 25 DE MAYO 280,RESISTENCIA,CHACO,Gas Oil Grado 3,Al público,1280.08,1662.00,58.75,1662.00,NO,0,146.84,16.74,0,0,15.89,204.72,0
68622,104,2025/04,CALCAGNO RICARDO OMAR Y CALCAGNO RICARDO JAVIER SOC. HECHO,SHELL C.A.P.S.A.,,33-70812864-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV. 25 DE MAYO 280,RESISTENCIA,CHACO,Gas Oil Grado 2,Al público,1041.25,1388.00,16.15,1388.00,NO,0,146.82,16.73,0,0,13.79,172.10,0
68623,104,2025/04,CALCAGNO RICARDO OMAR Y CALCAGNO RICARDO JAVIER SOC. HECHO,SHELL C.A.P.S.A.,,33-70812864-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV. 25 DE MAYO 280,RESISTENCIA,CHACO,Nafta (súper) entre 92 y 95 Ron,Al público,948.64,1334.00,178.45,1334.00,NO,0,197.98,12.13,0,0,13.59,156.18,0
70231,683,2025/04,CONSTRUCTORA EDIFICAR SA,SHELL C.A.P.S.A.,,30-65765065-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ESTADOS UNIDOS 725,CORRIENTES,CORRIENTES,Gas Oil Grado 3,Al público,1239.11,1659.00,15.97,1659.00,NO,0,143.33,16.34,0,0,0,208.50,0
70232,683,2025/04,CONSTRUCTORA EDIFICAR SA,SHELL C.A.P.S.A.,,30-65765065-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ESTADOS UNIDOS 725,CORRIENTES,CORRIENTES,Nafta (súper) entre 92 y 95 Ron,Al público,934.55,1337.00,121.81,1337.00,NO,0,194.29,11.90,0,0,0,160.17,0
70233,683,2025/04,CONSTRUCTORA EDIFICAR SA,SHELL C.A.P.S.A.,,30-65765065-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ESTADOS UNIDOS 725,CORRIENTES,CORRIENTES,Gas Oil Grado 2,Al público,1024.24,1399.00,11.26,1399.00,NO,0,143.33,16.34,0,0,0,177.35,0
70234,683,2025/04,CONSTRUCTORA EDIFICAR SA,SHELL C.A.P.S.A.,,30-65765065-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ESTADOS UNIDOS 725,CORRIENTES,CORRIENTES,Nafta (premium) de más de 95 Ron,Al público,1170.92,1623.00,36.36,1623.00,NO,0,194.29,11.90,0,0,0,195.28,0
70745,475,2025/04,CUBA SA,YPF,,30-68389938-7,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AV. PTE PERON 2282,VILLA DE MAYO,BUENOS AIRES,GNC,Al público,470.25,569.00,109117.00,569.00,NO,0,0,0,0,0,0,98.75,0
70746,475,2025/04,CUBA SA,YPF,,30-68389938-7,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AV. PTE PERON 2282,VILLA DE MAYO,BUENOS AIRES,Nafta (premium) de más de 95 Ron,Al público,1128.33,1511.00,25.51,1511.00,NO,0,224.97,13.78,20,0,0,236.95,0
70747,475,2025/04,CUBA SA,YPF,,30-68389938-7,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AV. PTE PERON 2282,VILLA DE MAYO,BUENOS AIRES,Gas Oil Grado 2,Al público,919.93,1219.00,28.29,1219.00,NO,0,255.74,29.16,15,0,0,193.19,0
70748,475,2025/04,CUBA SA,YPF,,30-68389938-7,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AV. PTE PERON 2282,VILLA DE MAYO,BUENOS AIRES,Nafta (súper) entre 92 y 95 Ron,Al público,899.45,1234.00,177.45,1234.00,NO,0,224.97,13.78,15,0,0,188.88,0
70749,475,2025/04,CUBA SA,YPF,,30-68389938-7,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AV. PTE PERON 2282,VILLA DE MAYO,BUENOS AIRES,Gas Oil Grado 3,Al público,1136.83,1478.00,39.33,1478.00,NO,0,156.45,17.83,20,0,0,238.73,0
71419,2298,2025/04,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,Gas Oil Grado 2,Al público,948.59,1308.93,116.98,1309.00,NO,0,144.65,16.49,0,0,0,19.20,0
71420,2298,2025/04,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,Nafta (premium) de más de 95 Ron,Al público,1108.89,1551.78,69.43,1552.00,NO,0,197.90,12.12,0,0,0,232.87,0
71421,2298,2025/04,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,Gas Oil Grado 3,Al público,1132.36,1526.95,114.12,1527.00,NO,0,140.76,16.04,0,0,0,237.80,0
71422,2298,2025/04,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,Kerosene,Al público,846.37,1309.00,2.34,1309.00,NO,0,255.74,29.16,0,0,0,255.74,0
71423,2298,2025/04,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,Nafta (súper) entre 92 y 95 Ron,Al público,871.03,1292.20,294.89,1293.00,NO,0,224.51,13.75,0,0,0,182.92,0
71424,2298,2025/04,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,GNC,Al público,701.65,849.00,133.18,849.00,NO,0,0,0,0,0,0,147.35,0
71680,3978,2025/04,DON ROBERTO SA,BLANCA,18/2022/08,30-70895265-2,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,"RUTA NACIONAL N: 12, KM. 1052",SAN COSME,CORRIENTES,Gas Oil Grado 2,Al público,919.68,1322.91,29.83,1323.00,NO,0,151.76,17.30,0,0,0,193.13,0
71681,3978,2025/04,DON ROBERTO SA,BLANCA,18/2022/08,30-70895265-2,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,"RUTA NACIONAL N: 12, KM. 1052",SAN COSME,CORRIENTES,Gas Oil Grado 3,Al público,1131.86,1579.65,10.65,1586.00,NO,0,151.76,17.30,0,0,0,237.69,0
71682,3978,2025/04,DON ROBERTO SA,BLANCA,18/2022/08,30-70895265-2,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,"RUTA NACIONAL N: 12, KM. 1052",SAN COSME,CORRIENTES,Nafta (súper) entre 92 y 95 Ron,Al público,1128.80,1534.90,4.37,1543.00,NO,0,197.98,12.13,0,0,0,237.04,0
71683,3978,2025/04,DON ROBERTO SA,BLANCA,18/2022/08,30-70895265-2,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,"RUTA NACIONAL N: 12, KM. 1052",SAN COSME,CORRIENTES,Nafta (premium) de más de 95 Ron,Al público,917.95,1279.77,39.10,1282.00,NO,0,197.98,12.13,0,0,0,192.76,0
73457,1036,2025/04,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,GNC,Al público,528.28,659.00,81303.70,659.00,NO,0,0,0,8.45,0,0,5965.81,11.33
73458,1036,2025/04,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Gas Oil Grado 3,Al público,1124.90,1535.56,122.99,1414.00,NO,1,140.57,15.98,17.99,0,0,236.13,0
73459,1036,2025/04,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Nafta (premium) de más de 95 Ron,Al público,1093.75,1550.86,166.68,1459.00,NO,0,197.98,12.13,17.50,0,0,229.68,0
73460,1036,2025/04,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Gas Oil Grado 2,Al público,926.79,1299.98,49.19,1262.00,NO,0,146.85,16.71,14.83,0,0,194.65,0
73461,1036,2025/04,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Nafta (súper) entre 92 y 95 Ron,Al público,881.12,1289.96,302.35,1265.00,NO,0,197.59,12.08,14.10,0,0,185.03,0
73462,1036,2025/04,ESTACION EL SURTIDOR S.R.L.,YPF,,30-51932822-0,Bocas de expendio (venta por menor) Duales (líquidos + GNC),CORDOBA 4098,ROSARIO,SANTA FE,Kerosene,Al público,973.53,1456.06,4.99,1500.00,NO,0,249.62,12.89,15.58,0,0,204.44,0
77601,719,2025/04,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,Gas Oil Grado 2,Al público,869.41,868.75,48.61,1248.00,NO,0,156.45,17.83,21.74,86,36.53,182.58,0
77602,719,2025/04,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,Gas Oil Grado 3,Al público,1083.17,1081.89,29.89,1512.00,NO,0,156.45,17.83,27.08,86,44.01,227.47,0
77603,719,2025/04,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,Nafta (súper) entre 92 y 95 Ron,Al público,830.97,830.96,167.79,1265.00,NO,0,224.97,13.78,20.77,86,37.44,174.50,0
77604,719,2025/04,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,Nafta (premium) de más de 95 Ron,Al público,1062.30,1061.90,43.69,1556.00,NO,0,224.97,13.78,31.87,86,45.54,223.08,0
77605,719,2025/04,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,GNC,Al público,410.28,410.15,80684.00,514.90,NO,0,0,0,18.46,86,14.36,86.16,9.81
77606,719,2025/04,LIBEROIL SRL,YPF,,30-67791118-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),av. eva peron 3750,MERLO,BUENOS AIRES,Kerosene,Al público,869.41,780.25,2.13,1248.00,NO,0,156.45,17.83,21.74,86,36.53,182.58,0
78696,8252,2025/04,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,Nafta (premium) de más de 95 Ron,Al público,1109.15,1551.90,46.77,1552.00,NO,0,193.17,11.83,0,0,0,21,0
78697,8252,2025/04,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,Gas Oil Grado 2,Al público,960.56,1323.30,203.09,1309.00,NO,0,140.77,16.05,0,0,0,21,0
78698,8252,2025/04,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,Gas Oil Grado 3,Al público,1136.03,1531.32,117.83,1527.00,NO,0,136.97,15.61,0,0,0,21,0
78699,8252,2025/04,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,Kerosene,Al público,832.67,1286.12,4.50,1286.00,NO,0,255.74,29.16,0,0,0,21,0
78700,8252,2025/04,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,Nafta (súper) entre 92 y 95 Ron,Al público,893.40,1290.71,133.76,1293.00,NO,0,193.17,11.83,0,0,0,21,0
78701,8252,2025/04,MARIJO S.A.,YPF,,30-69854828-9,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AYACUCHO 3285,RIO CUARTO,CORDOBA,GNC,Al público,619.83,750.00,56561.00,750.00,NO,0,0,0,0,0,0,21,0
81589,10979,2025/04,PEREZ HERMANOS S.R.L.,DAPSA S.A.,,30-71621033-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA NACIONAL 14 KM1052 0,SAN PEDRO,MISIONES,Gas Oil Grado 3,Al público,1177.45,1599.00,27.39,1599.00,NO,0,156.45,17.83,0,8.24,29.44,247.27,0
81590,10979,2025/04,PEREZ HERMANOS S.R.L.,DAPSA S.A.,,30-71621033-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA NACIONAL 14 KM1052 0,SAN PEDRO,MISIONES,Nafta (premium) de más de 95 Ron,Al público,1101.65,1533.00,4.69,1533.00,NO,0,188.45,11.54,0,7.71,27.54,231.35,0
81591,10979,2025/04,PEREZ HERMANOS S.R.L.,DAPSA S.A.,,30-71621033-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA NACIONAL 14 KM1052 0,SAN PEDRO,MISIONES,Nafta (súper) entre 92 y 95 Ron,Al público,899.91,1298.97,105.07,1298.97,NO,0,197.97,12.13,0,6.30,22.50,188.98,0
81592,10979,2025/04,PEREZ HERMANOS S.R.L.,DAPSA S.A.,,30-71621033-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA NACIONAL 14 KM1052 0,SAN PEDRO,MISIONES,Gas Oil Grado 2,Al público,953.24,1325.00,192.71,1325.00,NO,0,154.10,17.48,0,6.67,23.83,200.18,0
82636,7672,2025/04,POSTA 16 S.R.L.,GULF,,30-71092757-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,FORMOSA 949,ROLDAN,SANTA FE,Gas Oil Grado 3,Al público,1184.51,1590.00,15.57,1590.00,NO,0,141.28,16.10,0,0,0,248.64,0
82637,7672,2025/04,POSTA 16 S.R.L.,GULF,,30-71092757-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,FORMOSA 949,ROLDAN,SANTA FE,Nafta (premium) de más de 95 Ron,Al público,1109.81,1552.66,7.56,1553.00,NO,0,197.98,12.13,0,0,0,233.06,0
82638,7672,2025/04,POSTA 16 S.R.L.,GULF,,30-71092757-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,FORMOSA 949,ROLDAN,SANTA FE,Gas Oil Grado 2,Al público,976.52,1345.93,86.16,1346.00,NO,0,144.72,16.50,0,0,0,205.62,0
82639,7672,2025/04,POSTA 16 S.R.L.,GULF,,30-71092757-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,FORMOSA 949,ROLDAN,SANTA FE,Nafta (súper) entre 92 y 95 Ron,Al público,894.31,1291.78,58.04,1292.00,NO,0,197.98,12.13,0,0,0,187.77,0
82870,189,2025/04,PUERTA SA,AXION,,30-59299051-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,Avenida Quaranta 4150,POSADAS,MISIONES,Gas Oil Grado 2,Al público,1043.78,1420.57,38.30,1421.00,NO,0,141.48,16.13,0,0,0,2980.64,0
82871,189,2025/04,PUERTA SA,AXION,,30-59299051-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,Avenida Quaranta 4150,POSADAS,MISIONES,Gas Oil Grado 3,Al público,1241.59,1662.45,24.35,1663.00,NO,0,143.74,16.38,0,0,0,262.77,0
82872,189,2025/04,PUERTA SA,AXION,,30-59299051-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,Avenida Quaranta 4150,POSADAS,MISIONES,Nafta (premium) de más de 95 Ron,Al público,1168.29,1623.71,17.99,1624.00,NO,0,197.95,12.13,0,0,0,282.85,0
82873,189,2025/04,PUERTA SA,AXION,,30-59299051-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,Avenida Quaranta 4150,POSADAS,MISIONES,Nafta (súper) entre 92 y 95 Ron,Al público,899.76,1296.54,118.47,1297.00,NO,0,195.84,12.00,0,0,0,188.95,0
83879,4653,2025/04,"ROGER, HUGO DANIEL",SHELL C.A.P.S.A.,,20-16232054-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,MONZON Y L.COBELLO 95,VILLA ANGELA,CHACO,Nafta (premium) de más de 95 Ron,Al público,1139.86,1624.00,2.14,1624.00,NO,0,224.97,13.78,0,0,0,245.39,0
83883,4653,2025/04,"ROGER, HUGO DANIEL",SHELL C.A.P.S.A.,,20-16232054-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,MONZON Y L.COBELLO 95,VILLA ANGELA,CHACO,Gas Oil Grado 3,Al público,1116.64,1662.00,12.00,1662.00,NO,0,255.73,29.16,0,0,0,260.47,0
