fila_extraida,operador,periodo,producto,volumen_original,precio_original,motivo
120184,JUAN MONDINO E HIJOS S.A,2025/06,Gas Oil Grado 3,24465.00,1427.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
120186,JUAN MONDINO E HIJOS S.A,2025/06,Nafta (premium) de más de 95 Ron,33582.00,1472.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
120187,JUAN MONDINO E HIJOS S.A,2025/06,Nafta (súper) entre 92 y 95 Ron,178306.00,1278.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
141913,JUAN MONDINO E HIJOS S.A,2025/07,Nafta (premium) de más de 95 Ron,31380.00,1586.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
141915,JUAN MONDINO E HIJOS S.A,2025/07,Nafta (súper) entre 92 y 95 Ron,177205.00,1390.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
141916,JUAN MONDINO E HIJOS S.A,2025/07,Gas Oil Grado 2,40005.00,1403.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
141917,JUAN MONDINO E HIJOS S.A,2025/07,Gas Oil Grado 3,24529.00,1538.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
163645,JUAN MONDINO E HIJOS S.A,2025/08,Gas Oil Grado 2,37358.00,1492.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
163647,JUAN MONDINO E HIJOS S.A,2025/08,Gas Oil Grado 3,23560.00,1649.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
163648,JUAN MONDINO E HIJOS S.A,2025/08,Nafta (súper) entre 92 y 95 Ron,180005.00,1478.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
163649,JUAN MONDINO E HIJOS S.A,2025/08,Nafta (premium) de más de 95 Ron,32400.00,1702.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
185317,JUAN MONDINO E HIJOS S.A,2025/09,Nafta (súper) entre 92 y 95 Ron,177085.00,1468.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
185318,JUAN MONDINO E HIJOS S.A,2025/09,Nafta (premium) de más de 95 Ron,32026.00,1702.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
185320,JUAN MONDINO E HIJOS S.A,2025/09,Gas Oil Grado 2,38403.00,1493.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
185321,JUAN MONDINO E HIJOS S.A,2025/09,Gas Oil Grado 3,24531.00,1649.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
207116,JUAN MONDINO E HIJOS S.A,2025/10,Gas Oil Grado 3,28375.00,1749.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
207117,JUAN MONDINO E HIJOS S.A,2025/10,Nafta (común) hasta 92 Ron,163027.00,1568.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
207118,JUAN MONDINO E HIJOS S.A,2025/10,Nafta (premium) de más de 95 Ron,28375.00,1800.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
207119,JUAN MONDINO E HIJOS S.A,2025/10,Gas Oil Grado 2,41850.00,1568.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
228838,JUAN MONDINO E HIJOS S.A,2025/11,Gas Oil Grado 2,36350.00,1716.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
228840,JUAN MONDINO E HIJOS S.A,2025/11,Nafta (súper) entre 92 y 95 Ron,183913.00,1709.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
228841,JUAN MONDINO E HIJOS S.A,2025/11,Nafta (premium) de más de 95 Ron,39258.00,1902.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
11489,LA ESQUINA COMBUSTIBLES SAS,2025/01,Gas Oil Grado 2,37139.30,1345.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
33390,LA ESQUINA COMBUSTIBLES SAS,2025/02,Gas Oil Grado 2,51861.90,1350.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
33392,LA ESQUINA COMBUSTIBLES SAS,2025/02,Gas Oil Grado 3,5925.15,1565.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
55190,LA ESQUINA COMBUSTIBLES SAS,2025/03,Gas Oil Grado 3,7245.91,1596.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
55192,LA ESQUINA COMBUSTIBLES SAS,2025/03,Gas Oil Grado 2,57874.70,1403.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
77027,LA ESQUINA COMBUSTIBLES SAS,2025/04,Gas Oil Grado 3,69832.70,1606.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
77028,LA ESQUINA COMBUSTIBLES SAS,2025/04,Gas Oil Grado 2,5447.15,1411.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
98841,LA ESQUINA COMBUSTIBLES SAS,2025/05,Gas Oil Grado 3,69832.70,1606.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
98842,LA ESQUINA COMBUSTIBLES SAS,2025/05,Gas Oil Grado 2,5447.15,1411.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
120669,LA ESQUINA COMBUSTIBLES SAS,2025/06,Gas Oil Grado 2,36745.60,1411.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
120672,LA ESQUINA COMBUSTIBLES SAS,2025/06,Gas Oil Grado 3,5173.87,1604.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
142409,LA ESQUINA COMBUSTIBLES SAS,2025/07,Gas Oil Grado 2,45435.20,1490.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
142410,LA ESQUINA COMBUSTIBLES SAS,2025/07,Gas Oil Grado 3,6645.58,1695.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
251103,LA ESQUINA COMBUSTIBLES SAS,2025/12,Gas Oil Grado 3,5068.53,1995.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
251104,LA ESQUINA COMBUSTIBLES SAS,2025/12,Gas Oil Grado 2,5821.81,1800.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
77989,LPAVONE SAS,2025/04,Gas Oil Grado 3,19040.00,1542.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
77990,LPAVONE SAS,2025/04,Nafta (premium) de más de 95 Ron,21838.00,1560.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
77992,LPAVONE SAS,2025/04,Nafta (súper) entre 92 y 95 Ron,192078.00,1300.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
77993,LPAVONE SAS,2025/04,Gas Oil Grado 2,31834.00,1322.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
34418,LUBRICAR S.A.,2025/02,Nafta (súper) entre 92 y 95 Ron,13859.00,1259.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
13170,MARIO A.ONOFRIO S.R.L,2025/01,Nafta (premium) de más de 95 Ron,33225.00,1516.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
13171,MARIO A.ONOFRIO S.R.L,2025/01,Gas Oil Grado 3,29905.00,1471.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
13173,MARIO A.ONOFRIO S.R.L,2025/01,Gas Oil Grado 2,19771.30,1247.49,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
13174,MARIO A.ONOFRIO S.R.L,2025/01,Nafta (súper) entre 92 y 95 Ron,100204.00,1265.68,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
35071,MARIO A.ONOFRIO S.R.L,2025/02,Nafta (premium) de más de 95 Ron,34031.00,1536.33,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
35072,MARIO A.ONOFRIO S.R.L,2025/02,Gas Oil Grado 3,32048.00,1497.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
35073,MARIO A.ONOFRIO S.R.L,2025/02,Nafta (súper) entre 92 y 95 Ron,97415.00,1274.70,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
56878,MARIO A.ONOFRIO S.R.L,2025/03,Gas Oil Grado 2,26904.00,1317.34,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
56879,MARIO A.ONOFRIO S.R.L,2025/03,Nafta (súper) entre 92 y 95 Ron,95977.00,1306.44,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
56880,MARIO A.ONOFRIO S.R.L,2025/03,Gas Oil Grado 3,32827.00,1535.72,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
56881,MARIO A.ONOFRIO S.R.L,2025/03,Nafta (premium) de más de 95 Ron,39200.00,1565.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
78712,MARIO A.ONOFRIO S.R.L,2025/04,Gas Oil Grado 2,33338.00,1322.02,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
78713,MARIO A.ONOFRIO S.R.L,2025/04,Nafta (premium) de más de 95 Ron,34441.30,1558.53,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
78714,MARIO A.ONOFRIO S.R.L,2025/04,Nafta (súper) entre 92 y 95 Ron,108561.00,1303.79,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
78715,MARIO A.ONOFRIO S.R.L,2025/04,Gas Oil Grado 3,35960.00,1551.73,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
187468,MARIO A.ONOFRIO S.R.L,2025/09,Nafta (premium) de más de 95 Ron,37586.00,1802.49,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
187469,MARIO A.ONOFRIO S.R.L,2025/09,Nafta (súper) entre 92 y 95 Ron,92004.00,1545.41,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
187471,MARIO A.ONOFRIO S.R.L,2025/09,Gas Oil Grado 3,34060.00,1771.09,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
78936,MAURICIO BONFIGLI,2025/04,Gas Oil Grado 2,110306.00,1378.93,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
78937,MAURICIO BONFIGLI,2025/04,Nafta (súper) entre 92 y 95 Ron,42046.20,1328.72,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
78938,MAURICIO BONFIGLI,2025/04,Gas Oil Grado 3,42967.20,1587.56,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
78939,MAURICIO BONFIGLI,2025/04,Nafta (premium) de más de 95 Ron,13506.70,1619.39,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
100741,MAURICIO BONFIGLI,2025/05,Nafta (premium) de más de 95 Ron,14301.80,1564.32,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
100742,MAURICIO BONFIGLI,2025/05,Gas Oil Grado 3,47640.50,1525.46,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
100743,MAURICIO BONFIGLI,2025/05,Nafta (súper) entre 92 y 95 Ron,43123.20,1299.58,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
100744,MAURICIO BONFIGLI,2025/05,Gas Oil Grado 2,105890.00,1359.40,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
122559,MAURICIO BONFIGLI,2025/06,Nafta (premium) de más de 95 Ron,14738.30,1598.51,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
122560,MAURICIO BONFIGLI,2025/06,Gas Oil Grado 3,45356.50,1560.83,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
122561,MAURICIO BONFIGLI,2025/06,Nafta (súper) entre 92 y 95 Ron,49838.30,1338.88,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
122562,MAURICIO BONFIGLI,2025/06,Gas Oil Grado 2,101749.00,1417.69,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
36168,NOR BRACCA S.R.L.,2025/02,Nafta (súper) entre 92 y 95 Ron,27849.50,1228.50,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
57981,NOR BRACCA S.R.L.,2025/03,Nafta (súper) entre 92 y 95 Ron,50456.60,1265.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
79825,NOR BRACCA S.R.L.,2025/04,Nafta (súper) entre 92 y 95 Ron,48104.60,1278.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
101619,NOR BRACCA S.R.L.,2025/05,Nafta (súper) entre 92 y 95 Ron,49846.70,1291.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
123445,NOR BRACCA S.R.L.,2025/06,Nafta (súper) entre 92 y 95 Ron,49248.40,1304.26,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
145174,NOR BRACCA S.R.L.,2025/07,Nafta (súper) entre 92 y 95 Ron,57126.20,1327.69,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
166902,NOR BRACCA S.R.L.,2025/08,Nafta (súper) entre 92 y 95 Ron,60104.50,1378.14,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
188562,NOR BRACCA S.R.L.,2025/09,Nafta (súper) entre 92 y 95 Ron,63797.50,1452.57,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
210350,NOR BRACCA S.R.L.,2025/10,Nafta (súper) entre 92 y 95 Ron,67080.60,1505.32,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
232089,NOR BRACCA S.R.L.,2025/11,Nafta (súper) entre 92 y 95 Ron,68235.90,1560.91,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
253834,NOR BRACCA S.R.L.,2025/12,Nafta (súper) entre 92 y 95 Ron,62470.90,1671.70,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
188680,OBERTO HNOS. S.C.C,2025/09,Nafta (premium) de más de 95 Ron,5030.00,1760.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
188678,OBERTO HNOS. S.C.C,2025/09,Nafta (premium) de más de 95 Ron,5001.00,1760.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
210458,OBERTO HNOS. S.C.C,2025/10,Nafta (premium) de más de 95 Ron,5008.00,1801.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
210529,OIL PETRO SALSIPUEDES SA,2025/10,Gas Oil Grado 3,85.06,1.69,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
210531,OIL PETRO SALSIPUEDES SA,2025/10,Nafta (premium) de más de 95 Ron,71.46,1.70,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
210532,OIL PETRO SALSIPUEDES SA,2025/10,Gas Oil Grado 2,64.59,1.53,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
210533,OIL PETRO SALSIPUEDES SA,2025/10,Nafta (súper) entre 92 y 95 Ron,267.61,1.58,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
232265,OIL PETRO SALSIPUEDES SA,2025/11,Nafta (premium) de más de 95 Ron,69.40,1.86,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
232266,OIL PETRO SALSIPUEDES SA,2025/11,Gas Oil Grado 2,58.44,1.68,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
232268,OIL PETRO SALSIPUEDES SA,2025/11,Nafta (súper) entre 92 y 95 Ron,266.79,1.65,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
232269,OIL PETRO SALSIPUEDES SA,2025/11,Gas Oil Grado 3,81.29,1.82,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
254016,OIL PETRO SALSIPUEDES SA,2025/12,Nafta (súper) entre 92 y 95 Ron,285.06,1.69,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
254017,OIL PETRO SALSIPUEDES SA,2025/12,Gas Oil Grado 2,62.35,1.78,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
254018,OIL PETRO SALSIPUEDES SA,2025/12,Gas Oil Grado 3,81.24,1.90,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
254019,OIL PETRO SALSIPUEDES SA,2025/12,Nafta (premium) de más de 95 Ron,76.43,1.90,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
210534,OIL PETRO SALSIPUEDES SRL,2025/10,Gas Oil Grado 3,101.77,1.72,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
210535,OIL PETRO SALSIPUEDES SRL,2025/10,Nafta (súper) entre 92 y 95 Ron,262.83,1.56,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
210536,OIL PETRO SALSIPUEDES SRL,2025/10,Gas Oil Grado 2,87.18,1.56,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
210537,OIL PETRO SALSIPUEDES SRL,2025/10,Nafta (premium) de más de 95 Ron,87.73,1.76,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
232270,OIL PETRO SALSIPUEDES SRL,2025/11,Nafta (premium) de más de 95 Ron,85.45,1.85,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
232271,OIL PETRO SALSIPUEDES SRL,2025/11,Nafta (súper) entre 92 y 95 Ron,257.70,1.65,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
232272,OIL PETRO SALSIPUEDES SRL,2025/11,Gas Oil Grado 2,76.33,1.68,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
232274,OIL PETRO SALSIPUEDES SRL,2025/11,Gas Oil Grado 3,103.25,1.81,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
254020,OIL PETRO SALSIPUEDES SRL,2025/12,Nafta (premium) de más de 95 Ron,96.07,1.89,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
254021,OIL PETRO SALSIPUEDES SRL,2025/12,Gas Oil Grado 2,82.51,1.78,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
254022,OIL PETRO SALSIPUEDES SRL,2025/12,Gas Oil Grado 3,109.63,1.90,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
254023,OIL PETRO SALSIPUEDES SRL,2025/12,Nafta (súper) entre 92 y 95 Ron,280.81,1.69,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
255268,PARADOR SIGLO XXI SRL,2025/12,Gas Oil Grado 3,7757.00,1982.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
124192,OPESSA,2025/06,Kerosene,6403.00,1291.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
145719,OPESSA,2025/07,Kerosene,5504.00,1406.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
62621,SAN CAYETANO S.R.L.,2025/03,Nafta (premium) de más de 95 Ron,37183.00,1568.83,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
62622,SAN CAYETANO S.R.L.,2025/03,Gas Oil Grado 2,80436.50,1337.12,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
62624,SAN CAYETANO S.R.L.,2025/03,Gas Oil Grado 3,59403.00,1540.20,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
62625,SAN CAYETANO S.R.L.,2025/03,Nafta (súper) entre 92 y 95 Ron,130777.00,1308.69,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
19110,SAN MIGUEL S.R.L.,2025/01,Gas Oil Grado 3,62112.00,1499.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
19111,SAN MIGUEL S.R.L.,2025/01,Gas Oil Grado 2,40043.00,1294.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
40896,SAN MIGUEL S.R.L.,2025/02,Gas Oil Grado 3,56266.00,1536.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
40897,SAN MIGUEL S.R.L.,2025/02,Nafta (premium) de más de 95 Ron,79257.00,1553.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
40899,SAN MIGUEL S.R.L.,2025/02,Gas Oil Grado 2,33780.00,1329.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
40900,SAN MIGUEL S.R.L.,2025/02,Nafta (súper) entre 92 y 95 Ron,155179.00,1294.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
62749,SAN MIGUEL S.R.L.,2025/03,Gas Oil Grado 2,32395.60,1356.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
62750,SAN MIGUEL S.R.L.,2025/03,Nafta (súper) entre 92 y 95 Ron,167200.00,1320.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
62751,SAN MIGUEL S.R.L.,2025/03,Nafta (premium) de más de 95 Ron,79895.00,1584.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
62752,SAN MIGUEL S.R.L.,2025/03,Gas Oil Grado 3,65756.00,1563.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
106362,SAN MIGUEL S.R.L.,2025/05,Gas Oil Grado 2,33230.00,1359.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
106363,SAN MIGUEL S.R.L.,2025/05,Nafta (premium) de más de 95 Ron,79099.00,1549.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
106365,SAN MIGUEL S.R.L.,2025/05,Gas Oil Grado 3,60750.00,1526.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
106366,SAN MIGUEL S.R.L.,2025/05,Nafta (súper) entre 92 y 95 Ron,149915.00,1329.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
128147,SAN MIGUEL S.R.L.,2025/06,Nafta (súper) entre 92 y 95 Ron,149900.00,1414.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
128148,SAN MIGUEL S.R.L.,2025/06,Nafta (premium) de más de 95 Ron,82269.00,1651.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
128150,SAN MIGUEL S.R.L.,2025/06,Gas Oil Grado 2,30187.00,1442.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
128151,SAN MIGUEL S.R.L.,2025/06,Gas Oil Grado 3,64023.00,1442.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
149885,SAN MIGUEL S.R.L.,2025/07,Gas Oil Grado 2,35700.00,1454.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
149886,SAN MIGUEL S.R.L.,2025/07,Gas Oil Grado 3,71800.00,1631.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
149888,SAN MIGUEL S.R.L.,2025/07,Nafta (premium) de más de 95 Ron,91.10,1.66,"Precio promedio fuera del intervalo de selección 100-5000 ARS por unidad. Umbral didáctico, no prueba de error."
